Actor1CountryCode,Actor2CountryCode,Strength
GBR,DNK,3.621052632
VEN,ESP,2.111596386
USA,SSD,4.055505279
EGY,TUN,-6.808098592
USA,CRI,5.236775819
SYR,BEL,3.606048387
ITA,IRN,8.522177419
IRL,CAN,4.935400908
MYS,MMR,5.263773966
POL,FRA,3.705811016
RUS,BEL,3.741122914
CAN,NLD,5.242089249
AFR,TZA,6.132352941
ZAF,CHN,7.311111111
BGR,TUR,0.700609756
RUS,HUN,5.17717336
GBR,NPL,6.840976106
ITA,SYR,4.872634791
FRA,ARM,4.632604273
USA,BLR,6.221639511
HRV,HUN,-2.618737271
